Timestamp,Error Type
2025-08-04T13:41:28.948944,SilentException
2025-08-04T13:41:47.335686,SilentException
2025-08-04T13:41:50.182152,SilentException
2025-08-04T13:44:19.956535,SilentException
2025-08-04T13:44:21.557658,SilentException
2025-08-04T13:44:22.075413,SilentException
2025-08-04T13:44:22.525650,SilentException
2025-08-04T13:44:22.863465,SilentException
2025-08-04T13:51:09.232050,SilentException
2025-08-04T13:51:54.968212,SilentException
2025-08-04T13:51:57.389243,SilentException
2025-08-14T08:42:15.111320,KeyError
2025-08-14T08:42:20.373870,KeyError
2025-08-14T08:43:54.889233,KeyError
2025-08-25T11:10:53.255092,KeyError
2025-08-25T11:11:16.979576,KeyError
2025-08-25T11:12:15.853200,KeyError
2025-08-25T14:07:19.494585,SilentException
2025-08-25T14:07:27.117693,SilentException
2025-08-25T14:07:52.508408,SilentException
2025-08-25T14:07:53.725759,SilentException
2025-08-25T14:08:57.411133,SilentException
2025-08-25T14:54:42.913619,KeyError
2025-08-25T16:00:39.836302,KeyError
2025-08-25T16:03:13.056317,SilentException
2025-08-25T16:03:50.065716,SilentException
2025-08-25T16:05:10.037703,SilentException
2025-08-25T16:05:45.748173,SilentException
2025-08-25T16:19:44.110940,KeyError
2025-08-25T16:19:54.166678,SilentException
2025-08-25T16:26:22.128375,KeyError
2025-08-25T16:28:16.395780,SilentException
2025-08-25T16:30:05.076014,KeyError
2025-08-25T16:36:47.339184,SilentException
2025-08-25T16:42:18.050350,SilentException
2025-08-25T16:49:33.032904,SilentException
2025-08-25T17:15:34.445541,SilentException
2025-08-25T17:32:04.113952,SilentException
2025-08-25T17:35:14.799718,SilentException
2025-08-25T17:37:29.662985,SilentException
2025-08-25T17:39:40.014685,SilentException
2025-08-25T17:39:43.272366,SilentException
2025-08-25T20:28:10.518100,KeyError
2025-08-26T09:48:03.424791,KeyError
2025-08-26T09:48:36.067346,KeyError
2025-08-26T09:48:37.135713,KeyError
2025-08-26T09:48:38.167137,KeyError
2025-08-26T10:13:45.642574,KeyError
2025-08-26T10:14:29.735249,KeyError
2025-08-26T14:58:50.783144,KeyError
2025-08-26T15:08:23.437210,SilentException
2025-08-26T15:10:16.838766,SilentException
2025-09-04T20:48:47.956146,KeyError
2025-09-04T20:56:57.078987,KeyError
2025-09-15T10:44:18.805947,KeyError
2025-09-15T10:56:03.189487,KeyError
2025-11-03T14:11:36.825096,KeyError
2025-11-03T14:13:21.397452,KeyError
2026-01-26T09:23:00.025422,KeyError
2026-01-26T14:22:30.024289,KeyError
2026-01-26T14:22:41.308877,KeyError
2026-01-26T14:23:55.636235,KeyError
2026-01-26T14:24:52.163545,KeyError
2026-01-26T14:25:40.960681,KeyError
2026-01-26T14:27:22.276612,KeyError
2026-01-26T14:36:47.724616,KeyError
2026-01-26T14:41:36.788949,KeyError
2026-01-26T14:47:26.185612,KeyError
2026-01-26T15:02:22.108823,KeyError
2026-01-26T15:09:14.377258,KeyError
2026-01-26T15:22:02.670888,KeyError
2026-01-26T15:25:28.462792,KeyError
2026-01-26T15:25:58.069213,KeyError
2026-01-26T15:28:26.224240,KeyError
2026-01-26T15:29:05.244116,KeyError
2026-01-26T15:29:24.204733,KeyError
2026-01-26T15:45:12.575408,KeyError
2026-01-26T17:05:45.629979,KeyError
2026-03-19T09:53:11.408754,KeyError
2026-03-19T09:53:25.796722,KeyError
